EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20201201,피아트,181000,26.7
20180301,이스즈,136000,23.0
20180901,스즈키,195000,21.1
20170501,폰티악,179000,22.2
20160601,폰티악,200000,22.1
20161001,폰티악,124000,20.9
20160301,란치아,171000,18.4
20160201,란치아,231000,19.6
20180801,란치아,209000,20.9
20190601,란치아,177000,21.8
20151001,뷰익,228000,19.5
20151101,뷰익,285000,18.6
20210801,마쯔다,133000,24.3
20190701,Chevrolet,164000,22.1
20170901,마쯔다,155000,23.1
20230401,Chevrolet,270000,28.2
20181001,시트로엥,220000,21.3
20160201,시트로엥,302000,15.8
20190801,머큐리,162000,28.8
20180601,머큐리,154000,23.4
20200401,머큐리,160000,24.7
20230501,머큐리,252000,28.4
20191201,머큐리,103000,24.3
20230801,뷰익,167000,32.5
20240401,오펠,165000,20.3
20160201,포르쉐,117000,13.5
20190801,오펠,136000,17.2
20210301,Chevrolet,144000,6.3
20210101,뷰익,241000,17.8
20240201,벤틀리,194000,15.3
20160701,다이하쓰,113000,13.5
20190401,오펠,125000,15.6
20240601,다이하쓰,148000,15.9
20221201,GEO,184000,20.3
20220801,스즈키,135000,9.8
20231001,허머,106000,8.8
20180701,폰티악,132000,19.3
20190901,다이하쓰,129000,10.5
20221101,사이언,126000,14.2
20231201,다이하쓰,133000,14.8
20170601,포르쉐,110000,5.6
20210401,BMW,216000,14.8
20220501,링컨,200000,13.1
20210601,혼다,213000,13.1
20211201,토요타,207000,11.0
20190901,Chevrolet,213000,14.1
20190701,토요타,176000,10.2
20200801,벤츠,217000,13.6
20171001,Chevrolet,125000,13.4
20210101,아큐라,255000,10.7
20170201,포드,176000,14.1
20200601,닷지,183000,15.1
20171101,GMC,205000,13.3
20240301,닛산,191000,12.8
20230201,폭스바겐,221000,12.7
20160301,폭스바겐,184000,9.9
20230101,포드,187000,12.8
20180701,토요타,188000,12.5
20170201,닷지,173000,17.0
20220501,크라이슬러,210000,14.6
20191101,닷지,214000,14.7
20190501,토요타,181000,11.3
20161101,Chevrolet,138000,16.7
20230701,BMW,220000,13.9
20230701,토요타,214000,12.2
20211101,재규어,213000,10.9
20211201,폭스바겐,213000,12.3
20210501,아우디,207000,13.2
20150701,미쓰비시,209000,11.2
20180101,아우디,187000,12.3
20231101,포드,186000,13.1
20230201,벤츠,229000,14.5
20190801,미쓰비시,160000,16.7
20190401,Chevrolet,160000,10.2
20200801,BMW,206000,12.7
20220801,미니,157000,11.5
